contrat_id,client_id,produit_id,type_produit,date_souscription,date_effet,date_echeance,prime_mensuelle,capital_assure,franchise,statut,mode_paiement,loaded_at
CTR_000120,CLI_000048,PROD_Épargne_04,Épargne,2024-12-18,2024-12-18,2026-12-08,955.3,92041.05,0,Actif,Carte,2026-02-15 18:34:20.618109
CTR_000121,CLI_000049,PROD_Vie_02,Vie,2024-04-26,2024-04-26,2027-04-11,409.51,221904.22,0,Actif,Carte,2026-02-15 18:34:20.619161
CTR_000122,CLI_000049,PROD_Épargne_01,Épargne,2023-11-07,2023-11-07,2027-10-17,579.63,20818.81,0,Actif,Prélèvement,2026-02-15 18:34:20.619449
CTR_000123,CLI_000049,PROD_Habitation_04,Habitation,2024-07-07,2024-07-07,2025-07-02,76.38,66998.18,500,Actif,Virement,2026-02-15 18:34:20.620033
CTR_000124,CLI_000049,PROD_Habitation_02,Habitation,2024-08-04,2024-08-04,2026-07-25,63.63,99354.4,1000,Actif,Virement,2026-02-15 18:34:20.620480
CTR_000125,CLI_000050,PROD_Habitation_02,Habitation,2024-06-06,2024-06-06,2025-06-01,57.01,72199.8,500,Actif,Prélèvement,2026-02-15 18:34:20.622560
CTR_000126,CLI_000050,PROD_Auto_01,Auto,2024-11-17,2024-11-17,2029-10-22,131.05,43920.77,1000,Résilié,Prélèvement,2026-02-15 18:34:20.622872
CTR_000127,CLI_000051,PROD_Habitation_01,Habitation,2024-12-28,2024-12-28,2028-12-07,79.0,52979.88,500,Actif,Prélèvement,2026-02-15 18:34:20.624028
CTR_000128,CLI_000052,PROD_Épargne_02,Épargne,2024-05-03,2024-05-03,2029-04-07,624.06,36102.04,0,Actif,Carte,2026-02-15 18:34:20.624962
CTR_000129,CLI_000053,PROD_Auto_01,Auto,2023-12-05,2023-12-05,2026-11-19,63.51,31605.98,1000,Actif,Carte,2026-02-15 18:34:20.626154
CTR_000130,CLI_000053,PROD_Épargne_03,Épargne,2023-06-25,2023-06-25,2028-05-29,625.5,48488.24,0,Résilié,Carte,2026-02-15 18:34:20.626446
CTR_000131,CLI_000053,PROD_Santé_02,Santé,2023-06-09,2023-06-09,2024-06-03,192.6,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.626645
CTR_000132,CLI_000054,PROD_Auto_01,Auto,2024-12-02,2024-12-02,2029-11-06,44.09,18491.78,1000,Résilié,Prélèvement,2026-02-15 18:34:20.627651
CTR_000133,CLI_000054,PROD_Habitation_01,Habitation,2024-10-16,2024-10-16,2027-10-01,30.66,295390.04,1000,Actif,Carte,2026-02-15 18:34:20.628036
CTR_000134,CLI_000055,PROD_Auto_04,Auto,2023-06-18,2023-06-18,2025-06-07,70.7,37361.71,200,Actif,Prélèvement,2026-02-15 18:34:20.628747
CTR_000135,CLI_000055,PROD_Vie_05,Vie,2023-03-21,2023-03-21,2025-03-10,248.47,306614.89,0,Actif,Virement,2026-02-15 18:34:20.628919
CTR_000136,CLI_000056,PROD_Habitation_03,Habitation,2024-10-19,2024-10-19,2026-10-09,65.62,225559.89,1000,Actif,Carte,2026-02-15 18:34:20.629515
CTR_000137,CLI_000056,PROD_Vie_04,Vie,2024-07-23,2024-07-23,2026-07-13,323.77,191664.89,0,Résilié,Virement,2026-02-15 18:34:20.629722
CTR_000138,CLI_000057,PROD_Habitation_05,Habitation,2024-11-26,2024-11-26,2026-11-16,96.46,155496.71,300,Résilié,Virement,2026-02-15 18:34:20.630334
CTR_000139,CLI_000057,PROD_Santé_03,Santé,2024-03-10,2024-03-10,2026-02-28,171.83,0.0,0,Actif,Virement,2026-02-15 18:34:20.630498
CTR_000140,CLI_000057,PROD_Habitation_04,Habitation,2023-04-10,2023-04-10,2028-03-14,23.64,58785.1,500,Actif,Prélèvement,2026-02-15 18:34:20.630679
CTR_000141,CLI_000057,PROD_Habitation_03,Habitation,2024-11-02,2024-11-02,2027-10-18,24.71,251196.13,1000,Actif,Prélèvement,2026-02-15 18:34:20.630870
CTR_000142,CLI_000058,PROD_Épargne_04,Épargne,2024-09-19,2024-09-19,2027-09-04,953.81,55367.04,0,Actif,Prélèvement,2026-02-15 18:34:20.631505
CTR_000143,CLI_000058,PROD_Habitation_05,Habitation,2024-10-13,2024-10-13,2028-09-22,38.73,124836.1,300,Actif,Prélèvement,2026-02-15 18:34:20.631723
CTR_000144,CLI_000058,PROD_Habitation_02,Habitation,2024-09-30,2024-09-30,2026-09-20,37.3,261643.76,1000,Actif,Carte,2026-02-15 18:34:20.631945
CTR_000145,CLI_000058,PROD_Vie_02,Vie,2024-10-06,2024-10-06,2026-09-26,227.68,454886.32,0,Actif,Virement,2026-02-15 18:34:20.632148
CTR_000146,CLI_000059,PROD_Habitation_05,Habitation,2024-12-30,2024-12-30,2027-12-15,23.78,205606.32,300,Actif,Carte,2026-02-15 18:34:20.632848
CTR_000147,CLI_000059,PROD_Auto_03,Auto,2024-12-17,2024-12-17,2028-11-26,130.47,19789.73,300,Actif,Prélèvement,2026-02-15 18:34:20.633070
CTR_000148,CLI_000059,PROD_Vie_03,Vie,2024-11-12,2024-11-12,2025-11-07,258.33,81003.88,0,Actif,Virement,2026-02-15 18:34:20.633330
CTR_000149,CLI_000059,PROD_Auto_02,Auto,2024-11-24,2024-11-24,2029-10-29,80.64,38424.31,1000,Actif,Virement,2026-02-15 18:34:20.633539
CTR_000150,CLI_000060,PROD_Habitation_04,Habitation,2024-10-28,2024-10-28,2027-10-13,47.27,260624.7,300,Actif,Carte,2026-02-15 18:34:20.634418
CTR_000151,CLI_000060,PROD_Santé_01,Santé,2024-12-06,2024-12-06,2027-11-21,154.06,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.634644
CTR_000152,CLI_000060,PROD_Auto_02,Auto,2024-08-06,2024-08-06,2029-07-11,72.46,14375.01,500,Actif,Prélèvement,2026-02-15 18:34:20.634864
CTR_000153,CLI_000060,PROD_Auto_04,Auto,2024-08-31,2024-08-31,2028-08-10,88.94,19816.17,200,Actif,Virement,2026-02-15 18:34:20.635077
CTR_000154,CLI_000061,PROD_Habitation_04,Habitation,2023-07-07,2023-07-07,2028-06-10,58.37,133657.15,500,Actif,Prélèvement,2026-02-15 18:34:20.636440
CTR_000155,CLI_000061,PROD_Épargne_02,Épargne,2024-10-04,2024-10-04,2029-09-08,722.71,59039.92,0,Actif,Virement,2026-02-15 18:34:20.637322
CTR_000156,CLI_000062,PROD_Auto_05,Auto,2024-07-10,2024-07-10,2026-06-30,94.83,34907.81,200,Actif,Prélèvement,2026-02-15 18:34:20.638499
CTR_000157,CLI_000062,PROD_Santé_03,Santé,2024-03-15,2024-03-15,2028-02-23,110.68,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.638724
CTR_000158,CLI_000062,PROD_Santé_05,Santé,2024-06-14,2024-06-14,2026-06-04,169.63,0.0,0,Actif,Prélèvement,2026-02-15 18:34:20.638908
CTR_000159,CLI_000063,PROD_Habitation_02,Habitation,2024-07-25,2024-07-25,2026-07-15,55.58,118167.32,1000,Actif,Carte,2026-02-15 18:34:20.639710
CTR_000160,CLI_000064,PROD_Vie_05,Vie,2023-06-24,2023-06-24,2024-06-18,336.08,451471.11,0,Actif,Virement,2026-02-15 18:34:20.640383
