prime_id,contrat_id,date_echeance,montant_prime,date_paiement,statut_paiement,loaded_at
PRM_00000023,CTR_000007,2024-11-07,23.26,2024-11-07,Payé,2026-02-15 18:34:32.827508
PRM_00000024,CTR_000007,2024-12-07,23.26,2024-12-08,Payé,2026-02-15 18:34:32.827560
PRM_00000025,CTR_000008,2024-09-18,194.15,2024-09-22,Payé,2026-02-15 18:34:32.828269
PRM_00000026,CTR_000008,2024-10-18,194.15,2024-10-21,Payé,2026-02-15 18:34:32.828322
PRM_00000027,CTR_000008,2024-11-17,194.15,2024-11-20,Payé,2026-02-15 18:34:32.828350
PRM_00000028,CTR_000008,2024-12-17,194.15,2024-12-20,Payé,2026-02-15 18:34:32.828374
PRM_00000029,CTR_000009,2024-10-06,465.72,2024-10-10,Payé,2026-02-15 18:34:32.828874
PRM_00000030,CTR_000009,2024-11-05,465.72,2024-11-10,Payé,2026-02-15 18:34:32.828940
PRM_00000031,CTR_000009,2024-12-05,465.72,2024-12-07,Payé,2026-02-15 18:34:32.829015
PRM_00000032,CTR_000010,2024-11-24,95.38,2024-11-26,Payé,2026-02-15 18:34:32.829504
PRM_00000033,CTR_000010,2024-12-24,95.38,2024-12-27,Payé,2026-02-15 18:34:32.829659
PRM_00000034,CTR_000011,2024-09-23,436.81,2024-10-19,Retard,2026-02-15 18:34:32.830567
PRM_00000035,CTR_000011,2024-10-23,436.81,2024-10-25,Payé,2026-02-15 18:34:32.830636
PRM_00000036,CTR_000011,2024-11-22,436.81,2024-11-23,Payé,2026-02-15 18:34:32.830694
PRM_00000037,CTR_000011,2024-12-22,436.81,2024-12-26,Payé,2026-02-15 18:34:32.830741
PRM_00000038,CTR_000012,2024-09-25,119.93,2024-09-27,Payé,2026-02-15 18:34:32.831302
PRM_00000039,CTR_000012,2024-10-25,119.93,2024-10-26,Payé,2026-02-15 18:34:32.831361
PRM_00000040,CTR_000012,2024-11-24,119.93,2024-11-29,Payé,2026-02-15 18:34:32.831406
PRM_00000041,CTR_000012,2024-12-24,119.93,2024-12-27,Payé,2026-02-15 18:34:32.831431
PRM_00000042,CTR_000013,2024-11-26,148.87,2024-11-28,Payé,2026-02-15 18:34:32.831864
PRM_00000043,CTR_000013,2024-12-26,148.87,2024-12-30,Payé,2026-02-15 18:34:32.831916
PRM_00000044,CTR_000014,2024-11-25,25.04,2024-11-26,Payé,2026-02-15 18:34:32.832345
PRM_00000045,CTR_000014,2024-12-25,25.04,2024-12-25,Payé,2026-02-15 18:34:32.832400
PRM_00000046,CTR_000015,2024-08-30,71.32,2024-09-02,Payé,2026-02-15 18:34:32.832754
PRM_00000047,CTR_000015,2024-09-29,71.32,2024-10-02,Payé,2026-02-15 18:34:32.832782
PRM_00000048,CTR_000015,2024-10-29,71.32,2024-10-31,Payé,2026-02-15 18:34:32.832807
PRM_00000049,CTR_000015,2024-11-28,71.32,2024-12-13,Retard,2026-02-15 18:34:32.832831
PRM_00000050,CTR_000015,2024-12-28,71.32,2024-12-31,Payé,2026-02-15 18:34:32.832854
PRM_00000051,CTR_000016,2024-10-27,160.11,2024-11-21,Retard,2026-02-15 18:34:32.833106
PRM_00000052,CTR_000016,2024-11-26,160.11,2024-11-27,Payé,2026-02-15 18:34:32.833134
PRM_00000053,CTR_000016,2024-12-26,160.11,2024-12-26,Payé,2026-02-15 18:34:32.833161
PRM_00000054,CTR_000017,2024-12-14,99.96,2024-12-17,Payé,2026-02-15 18:34:32.833575
PRM_00000055,CTR_000018,2023-05-30,30.46,2023-06-01,Payé,2026-02-15 18:34:32.833940
PRM_00000056,CTR_000018,2023-06-29,30.46,2023-06-30,Payé,2026-02-15 18:34:32.833992
PRM_00000057,CTR_000018,2023-07-29,30.46,2023-07-30,Payé,2026-02-15 18:34:32.834034
PRM_00000058,CTR_000018,2023-08-28,30.46,2023-08-28,Payé,2026-02-15 18:34:32.834079
PRM_00000059,CTR_000018,2023-09-27,30.46,2023-10-01,Payé,2026-02-15 18:34:32.834125
PRM_00000060,CTR_000018,2023-10-27,30.46,2023-10-30,Payé,2026-02-15 18:34:32.834171
PRM_00000061,CTR_000018,2023-11-26,30.46,2023-11-28,Payé,2026-02-15 18:34:32.834219
PRM_00000062,CTR_000018,2023-12-26,30.46,2023-12-31,Payé,2026-02-15 18:34:32.834267
PRM_00000063,CTR_000018,2024-01-25,30.46,2024-01-29,Payé,2026-02-15 18:34:32.834316
PRM_00000064,CTR_000018,2024-02-24,30.46,2024-02-29,Payé,2026-02-15 18:34:32.834364
PRM_00000065,CTR_000018,2024-03-25,30.46,2024-04-02,Retard,2026-02-15 18:34:32.834413
PRM_00000066,CTR_000018,2024-04-24,30.46,2024-04-28,Payé,2026-02-15 18:34:32.834457
PRM_00000067,CTR_000018,2024-05-24,30.46,2024-05-25,Payé,2026-02-15 18:34:32.834482
PRM_00000068,CTR_000019,2023-10-16,37.4,2023-10-17,Payé,2026-02-15 18:34:32.834786
PRM_00000069,CTR_000019,2023-11-15,37.4,2023-11-19,Payé,2026-02-15 18:34:32.834838
PRM_00000070,CTR_000019,2023-12-15,37.4,2023-12-18,Payé,2026-02-15 18:34:32.834883
PRM_00000071,CTR_000019,2024-01-14,37.4,2024-01-17,Payé,2026-02-15 18:34:32.834927
PRM_00000072,CTR_000019,2024-02-13,37.4,2024-02-18,Payé,2026-02-15 18:34:32.834976
PRM_00000073,CTR_000019,2024-03-14,37.4,2024-03-17,Payé,2026-02-15 18:34:32.835027
PRM_00000074,CTR_000019,2024-04-13,37.4,2024-04-13,Payé,2026-02-15 18:34:32.835492
PRM_00000075,CTR_000019,2024-05-13,37.4,2024-05-17,Payé,2026-02-15 18:34:32.835660
PRM_00000076,CTR_000019,2024-06-12,37.4,2024-06-17,Payé,2026-02-15 18:34:32.835735
PRM_00000077,CTR_000019,2024-07-12,37.4,2024-07-17,Payé,2026-02-15 18:34:32.835781
PRM_00000078,CTR_000019,2024-08-11,37.4,2024-08-16,Payé,2026-02-15 18:34:32.835836
PRM_00000079,CTR_000019,2024-09-10,37.4,2024-09-14,Payé,2026-02-15 18:34:32.836049
PRM_00000080,CTR_000019,2024-10-10,37.4,2024-10-17,Retard,2026-02-15 18:34:32.836107
PRM_00000081,CTR_000019,2024-11-09,37.4,2024-11-23,Retard,2026-02-15 18:34:32.836152
PRM_00000082,CTR_000019,2024-12-09,37.4,2024-12-28,Retard,2026-02-15 18:34:32.836201
PRM_00000083,CTR_000020,2024-09-23,110.95,2024-09-28,Payé,2026-02-15 18:34:32.837221
PRM_00000084,CTR_000020,2024-10-23,110.95,2024-10-27,Payé,2026-02-15 18:34:32.837282
PRM_00000085,CTR_000020,2024-11-22,110.95,2024-12-13,Retard,2026-02-15 18:34:32.837327
PRM_00000086,CTR_000020,2024-12-22,110.95,2024-12-23,Payé,2026-02-15 18:34:32.837372
PRM_00000087,CTR_000021,2022-12-28,148.18,2023-01-02,Payé,2026-02-15 18:34:32.838652
PRM_00000088,CTR_000021,2023-01-27,148.18,2023-02-01,Payé,2026-02-15 18:34:32.838711
PRM_00000089,CTR_000021,2023-02-26,148.18,2023-02-26,Payé,2026-02-15 18:34:32.838740
PRM_00000090,CTR_000021,2023-03-28,148.18,2023-03-30,Payé,2026-02-15 18:34:32.838768
PRM_00000091,CTR_000021,2023-04-27,148.18,2023-05-02,Payé,2026-02-15 18:34:32.838792
PRM_00000092,CTR_000021,2023-05-27,148.18,2023-05-30,Payé,2026-02-15 18:34:32.838816
PRM_00000093,CTR_000021,2023-06-26,148.18,2023-07-14,Retard,2026-02-15 18:34:32.838841
PRM_00000094,CTR_000021,2023-07-26,148.18,2023-07-31,Payé,2026-02-15 18:34:32.838876
PRM_00000095,CTR_000021,2023-08-25,148.18,2023-09-03,Retard,2026-02-15 18:34:32.838902
PRM_00000096,CTR_000021,2023-09-24,148.18,2023-09-27,Payé,2026-02-15 18:34:32.838928
PRM_00000097,CTR_000021,2023-10-24,148.18,2023-10-25,Payé,2026-02-15 18:34:32.838989
PRM_00000098,CTR_000021,2023-11-23,148.18,2023-11-23,Payé,2026-02-15 18:34:32.839037
PRM_00000099,CTR_000021,2023-12-23,148.18,2023-12-26,Payé,2026-02-15 18:34:32.839066
PRM_00000100,CTR_000022,2022-11-27,74.78,2022-12-02,Payé,2026-02-15 18:34:32.839932
PRM_00000101,CTR_000022,2022-12-27,74.78,2022-12-28,Payé,2026-02-15 18:34:32.839997
PRM_00000102,CTR_000022,2023-01-26,74.78,2023-02-15,Retard,2026-02-15 18:34:32.840037
PRM_00000103,CTR_000022,2023-02-25,74.78,2023-03-02,Payé,2026-02-15 18:34:32.840077
PRM_00000104,CTR_000022,2023-03-27,74.78,2023-04-01,Payé,2026-02-15 18:34:32.840120
PRM_00000105,CTR_000022,2023-04-26,74.78,2023-04-26,Payé,2026-02-15 18:34:32.840166
PRM_00000106,CTR_000022,2023-05-26,74.78,2023-05-31,Payé,2026-02-15 18:34:32.840212
PRM_00000107,CTR_000022,2023-06-25,74.78,2023-06-26,Payé,2026-02-15 18:34:32.840253
PRM_00000108,CTR_000022,2023-07-25,74.78,2023-07-29,Payé,2026-02-15 18:34:32.840278
PRM_00000109,CTR_000022,2023-08-24,74.78,2023-08-24,Payé,2026-02-15 18:34:32.840312
PRM_00000110,CTR_000022,2023-09-23,74.78,2023-09-24,Payé,2026-02-15 18:34:32.840375
PRM_00000111,CTR_000022,2023-10-23,74.78,2023-10-24,Payé,2026-02-15 18:34:32.840421
PRM_00000112,CTR_000022,2023-11-22,74.78,2023-11-22,Payé,2026-02-15 18:34:32.840467
PRM_00000113,CTR_000022,2023-12-22,74.78,2023-12-26,Payé,2026-02-15 18:34:32.840504
PRM_00000114,CTR_000022,2024-01-21,74.78,2024-01-25,Payé,2026-02-15 18:34:32.840528
PRM_00000115,CTR_000022,2024-02-20,74.78,2024-02-21,Payé,2026-02-15 18:34:32.840552
PRM_00000116,CTR_000022,2024-03-21,74.78,2024-03-26,Payé,2026-02-15 18:34:32.840574
PRM_00000117,CTR_000022,2024-04-20,74.78,,Impayé,2026-02-15 18:34:32.840593
PRM_00000118,CTR_000022,2024-05-20,74.78,2024-05-22,Payé,2026-02-15 18:34:32.840632
PRM_00000119,CTR_000022,2024-06-19,74.78,2024-06-22,Payé,2026-02-15 18:34:32.840675
PRM_00000120,CTR_000022,2024-07-19,74.78,2024-08-04,Retard,2026-02-15 18:34:32.840720
PRM_00000121,CTR_000022,2024-08-18,74.78,2024-08-20,Payé,2026-02-15 18:34:32.840770
PRM_00000122,CTR_000022,2024-09-17,74.78,2024-09-17,Payé,2026-02-15 18:34:32.840804
PRM_00000123,CTR_000022,2024-10-17,74.78,2024-10-22,Payé,2026-02-15 18:34:32.840827
PRM_00000124,CTR_000022,2024-11-16,74.78,2024-11-18,Payé,2026-02-15 18:34:32.840850
PRM_00000125,CTR_000023,2023-10-21,970.16,2023-10-21,Payé,2026-02-15 18:34:32.841362
PRM_00000126,CTR_000023,2023-11-20,970.16,2023-11-22,Payé,2026-02-15 18:34:32.841461
PRM_00000127,CTR_000023,2023-12-20,970.16,2023-12-24,Payé,2026-02-15 18:34:32.841500
PRM_00000128,CTR_000023,2024-01-19,970.16,2024-01-21,Payé,2026-02-15 18:34:32.841524
PRM_00000129,CTR_000023,2024-02-18,970.16,2024-02-23,Payé,2026-02-15 18:34:32.841550
PRM_00000130,CTR_000023,2024-03-19,970.16,2024-03-20,Payé,2026-02-15 18:34:32.841579
PRM_00000131,CTR_000023,2024-04-18,970.16,2024-04-19,Payé,2026-02-15 18:34:32.841602
PRM_00000132,CTR_000023,2024-05-18,970.16,2024-06-06,Retard,2026-02-15 18:34:32.841625
PRM_00000133,CTR_000023,2024-06-17,970.16,2024-06-21,Payé,2026-02-15 18:34:32.841648
PRM_00000134,CTR_000023,2024-07-17,970.16,2024-07-21,Payé,2026-02-15 18:34:32.841671
PRM_00000135,CTR_000023,2024-08-16,970.16,2024-08-16,Payé,2026-02-15 18:34:32.841694
PRM_00000136,CTR_000023,2024-09-15,970.16,2024-10-09,Retard,2026-02-15 18:34:32.841719
PRM_00000137,CTR_000023,2024-10-15,970.16,2024-10-16,Payé,2026-02-15 18:34:32.841742
PRM_00000138,CTR_000023,2024-11-14,970.16,2024-11-18,Payé,2026-02-15 18:34:32.841765
PRM_00000139,CTR_000023,2024-12-14,970.16,2024-12-16,Payé,2026-02-15 18:34:32.841787
PRM_00000140,CTR_000024,2024-05-04,152.86,2024-05-04,Payé,2026-02-15 18:34:32.842189
PRM_00000141,CTR_000024,2024-06-03,152.86,2024-06-04,Payé,2026-02-15 18:34:32.842243
PRM_00000142,CTR_000024,2024-07-03,152.86,2024-07-07,Payé,2026-02-15 18:34:32.842289
PRM_00000143,CTR_000024,2024-08-02,152.86,2024-08-06,Payé,2026-02-15 18:34:32.842338
PRM_00000144,CTR_000024,2024-09-01,152.86,2024-09-05,Payé,2026-02-15 18:34:32.842384
PRM_00000145,CTR_000024,2024-10-01,152.86,2024-10-10,Retard,2026-02-15 18:34:32.842433
PRM_00000146,CTR_000024,2024-10-31,152.86,2024-11-03,Payé,2026-02-15 18:34:32.842480
PRM_00000147,CTR_000024,2024-11-30,152.86,2024-12-03,Payé,2026-02-15 18:34:32.842513
PRM_00000148,CTR_000024,2024-12-30,152.86,2025-01-03,Payé,2026-02-15 18:34:32.842537
PRM_00000149,CTR_000025,2023-07-02,148.88,2023-07-06,Payé,2026-02-15 18:34:32.842956
PRM_00000150,CTR_000025,2023-08-01,148.88,2023-08-04,Payé,2026-02-15 18:34:32.842990
PRM_00000151,CTR_000025,2023-08-31,148.88,2023-09-04,Payé,2026-02-15 18:34:32.843013
PRM_00000152,CTR_000025,2023-09-30,148.88,2023-09-30,Payé,2026-02-15 18:34:32.843037
PRM_00000153,CTR_000025,2023-10-30,148.88,2023-10-31,Payé,2026-02-15 18:34:32.843060
PRM_00000154,CTR_000025,2023-11-29,148.88,2023-12-04,Payé,2026-02-15 18:34:32.843082
PRM_00000155,CTR_000025,2023-12-29,148.88,2024-01-02,Payé,2026-02-15 18:34:32.843116
PRM_00000156,CTR_000025,2024-01-28,148.88,2024-02-01,Payé,2026-02-15 18:34:32.843139
PRM_00000157,CTR_000025,2024-02-27,148.88,2024-02-27,Payé,2026-02-15 18:34:32.843162
PRM_00000158,CTR_000025,2024-03-28,148.88,2024-04-02,Payé,2026-02-15 18:34:32.843185
PRM_00000159,CTR_000025,2024-04-27,148.88,2024-05-02,Payé,2026-02-15 18:34:32.843210
PRM_00000160,CTR_000025,2024-05-27,148.88,2024-05-30,Payé,2026-02-15 18:34:32.843235
PRM_00000161,CTR_000025,2024-06-26,148.88,2024-06-30,Payé,2026-02-15 18:34:32.843259
PRM_00000162,CTR_000025,2024-07-26,148.88,2024-07-28,Payé,2026-02-15 18:34:32.843283
PRM_00000163,CTR_000025,2024-08-25,148.88,2024-09-24,Retard,2026-02-15 18:34:32.843308
PRM_00000164,CTR_000025,2024-09-24,148.88,2024-09-29,Payé,2026-02-15 18:34:32.843330
PRM_00000165,CTR_000025,2024-10-24,148.88,2024-10-26,Payé,2026-02-15 18:34:32.843359
PRM_00000166,CTR_000025,2024-11-23,148.88,2024-11-23,Payé,2026-02-15 18:34:32.843382
PRM_00000167,CTR_000025,2024-12-23,148.88,2024-12-26,Payé,2026-02-15 18:34:32.843406
PRM_00000168,CTR_000026,2023-03-19,107.91,2023-03-24,Payé,2026-02-15 18:34:32.843847
PRM_00000169,CTR_000026,2023-04-18,107.91,2023-04-18,Payé,2026-02-15 18:34:32.843898
PRM_00000170,CTR_000026,2023-05-18,107.91,2023-05-19,Payé,2026-02-15 18:34:32.843943
PRM_00000171,CTR_000026,2023-06-17,107.91,2023-06-21,Payé,2026-02-15 18:34:32.843988
PRM_00000172,CTR_000026,2023-07-17,107.91,2023-07-22,Payé,2026-02-15 18:34:32.844034
PRM_00000173,CTR_000026,2023-08-16,107.91,2023-08-19,Payé,2026-02-15 18:34:32.844072
PRM_00000174,CTR_000026,2023-09-15,107.91,2023-09-20,Payé,2026-02-15 18:34:32.844118
PRM_00000175,CTR_000026,2023-10-15,107.91,2023-10-17,Payé,2026-02-15 18:34:32.844141
PRM_00000176,CTR_000026,2023-11-14,107.91,2023-11-18,Payé,2026-02-15 18:34:32.844175
PRM_00000177,CTR_000026,2023-12-14,107.91,2023-12-19,Payé,2026-02-15 18:34:32.844219
PRM_00000178,CTR_000026,2024-01-13,107.91,2024-01-17,Payé,2026-02-15 18:34:32.844263
PRM_00000179,CTR_000026,2024-02-12,107.91,2024-02-13,Payé,2026-02-15 18:34:32.844310
PRM_00000180,CTR_000026,2024-03-13,107.91,2024-03-26,Retard,2026-02-15 18:34:32.844351
PRM_00000181,CTR_000027,2022-06-06,44.31,2022-06-06,Payé,2026-02-15 18:34:32.844705
PRM_00000182,CTR_000027,2022-07-06,44.31,2022-07-10,Payé,2026-02-15 18:34:32.844734
PRM_00000183,CTR_000027,2022-08-05,44.31,2022-08-08,Payé,2026-02-15 18:34:32.844757
PRM_00000184,CTR_000027,2022-09-04,44.31,2022-09-05,Payé,2026-02-15 18:34:32.844780
PRM_00000185,CTR_000027,2022-10-04,44.31,2022-11-03,Retard,2026-02-15 18:34:32.844804
PRM_00000186,CTR_000027,2022-11-03,44.31,2022-11-28,Retard,2026-02-15 18:34:32.844828
PRM_00000187,CTR_000027,2022-12-03,44.31,2022-12-08,Payé,2026-02-15 18:34:32.844850
PRM_00000188,CTR_000027,2023-01-02,44.31,2023-01-06,Payé,2026-02-15 18:34:32.844873
PRM_00000189,CTR_000027,2023-02-01,44.31,2023-02-05,Payé,2026-02-15 18:34:32.844895
PRM_00000190,CTR_000027,2023-03-03,44.31,2023-03-04,Payé,2026-02-15 18:34:32.844919
PRM_00000191,CTR_000027,2023-04-02,44.31,2023-04-03,Payé,2026-02-15 18:34:32.844941
PRM_00000192,CTR_000027,2023-05-02,44.31,2023-05-07,Payé,2026-02-15 18:34:32.844964
PRM_00000193,CTR_000027,2023-06-01,44.31,2023-06-06,Payé,2026-02-15 18:34:32.844986
PRM_00000194,CTR_000027,2023-07-01,44.31,2023-07-04,Payé,2026-02-15 18:34:32.845009
PRM_00000195,CTR_000027,2023-07-31,44.31,2023-08-21,Retard,2026-02-15 18:34:32.845032
PRM_00000196,CTR_000027,2023-08-30,44.31,2023-09-08,Retard,2026-02-15 18:34:32.845055
PRM_00000197,CTR_000027,2023-09-29,44.31,2023-09-29,Payé,2026-02-15 18:34:32.845077
PRM_00000198,CTR_000027,2023-10-29,44.31,2023-11-02,Payé,2026-02-15 18:34:32.845100
PRM_00000199,CTR_000027,2023-11-28,44.31,2023-12-01,Payé,2026-02-15 18:34:32.845122
PRM_00000200,CTR_000027,2023-12-28,44.31,2023-12-30,Payé,2026-02-15 18:34:32.845145
PRM_00000201,CTR_000027,2024-01-27,44.31,2024-01-28,Payé,2026-02-15 18:34:32.845167
PRM_00000202,CTR_000027,2024-02-26,44.31,2024-02-27,Payé,2026-02-15 18:34:32.845193
PRM_00000203,CTR_000027,2024-03-27,44.31,2024-03-31,Payé,2026-02-15 18:34:32.845226
PRM_00000204,CTR_000027,2024-04-26,44.31,2024-04-28,Payé,2026-02-15 18:34:32.845272
PRM_00000205,CTR_000027,2024-05-26,44.31,2024-05-26,Payé,2026-02-15 18:34:32.845317
PRM_00000206,CTR_000027,2024-06-25,44.31,2024-07-04,Retard,2026-02-15 18:34:32.845363
PRM_00000207,CTR_000027,2024-07-25,44.31,2024-07-30,Payé,2026-02-15 18:34:32.845407
PRM_00000208,CTR_000027,2024-08-24,44.31,2024-08-26,Payé,2026-02-15 18:34:32.845481
PRM_00000209,CTR_000027,2024-09-23,44.31,2024-09-23,Payé,2026-02-15 18:34:32.845536
PRM_00000210,CTR_000027,2024-10-23,44.31,2024-10-27,Payé,2026-02-15 18:34:32.845583
PRM_00000211,CTR_000027,2024-11-22,44.31,2024-11-22,Payé,2026-02-15 18:34:32.845626
PRM_00000212,CTR_000027,2024-12-22,44.31,2024-12-24,Payé,2026-02-15 18:34:32.845673
PRM_00000213,CTR_000028,2024-07-25,259.69,2024-07-27,Payé,2026-02-15 18:34:32.846040
PRM_00000214,CTR_000028,2024-08-24,259.69,2024-08-28,Payé,2026-02-15 18:34:32.846091
PRM_00000215,CTR_000028,2024-09-23,259.69,2024-09-28,Payé,2026-02-15 18:34:32.846139
PRM_00000216,CTR_000028,2024-10-23,259.69,2024-10-23,Payé,2026-02-15 18:34:32.846181
PRM_00000217,CTR_000028,2024-11-22,259.69,2024-11-26,Payé,2026-02-15 18:34:32.846206
PRM_00000218,CTR_000028,2024-12-22,259.69,2024-12-23,Payé,2026-02-15 18:34:32.846229
PRM_00000219,CTR_000029,2024-11-07,359.09,2024-11-10,Payé,2026-02-15 18:34:32.846477
PRM_00000220,CTR_000029,2024-12-07,359.09,2024-12-08,Payé,2026-02-15 18:34:32.846505
PRM_00000221,CTR_000030,2024-09-09,51.45,2024-09-10,Payé,2026-02-15 18:34:32.846724
PRM_00000222,CTR_000030,2024-10-09,51.45,2024-10-13,Payé,2026-02-15 18:34:32.846771
PRM_00000223,CTR_000030,2024-11-08,51.45,2024-11-12,Payé,2026-02-15 18:34:32.846818
PRM_00000224,CTR_000030,2024-12-08,51.45,2024-12-08,Payé,2026-02-15 18:34:32.846862
PRM_00000225,CTR_000031,2022-11-09,184.05,2022-11-12,Payé,2026-02-15 18:34:32.847201
PRM_00000226,CTR_000031,2022-12-09,184.05,2022-12-14,Payé,2026-02-15 18:34:32.847253
PRM_00000227,CTR_000031,2023-01-08,184.05,2023-01-11,Payé,2026-02-15 18:34:32.847300
PRM_00000228,CTR_000031,2023-02-07,184.05,2023-02-11,Payé,2026-02-15 18:34:32.847348
PRM_00000229,CTR_000031,2023-03-09,184.05,2023-03-10,Payé,2026-02-15 18:34:32.847382
PRM_00000230,CTR_000031,2023-04-08,184.05,2023-04-12,Payé,2026-02-15 18:34:32.847407
PRM_00000231,CTR_000031,2023-05-08,184.05,2023-05-10,Payé,2026-02-15 18:34:32.847430
PRM_00000232,CTR_000031,2023-06-07,184.05,2023-06-11,Payé,2026-02-15 18:34:32.847452
PRM_00000233,CTR_000031,2023-07-07,184.05,2023-07-08,Payé,2026-02-15 18:34:32.847508
PRM_00000234,CTR_000031,2023-08-06,184.05,2023-08-07,Payé,2026-02-15 18:34:32.847564
PRM_00000235,CTR_000031,2023-09-05,184.05,2023-09-10,Payé,2026-02-15 18:34:32.847611
PRM_00000236,CTR_000031,2023-10-05,184.05,2023-10-07,Payé,2026-02-15 18:34:32.847644
PRM_00000237,CTR_000031,2023-11-04,184.05,2023-11-07,Payé,2026-02-15 18:34:32.847667
PRM_00000238,CTR_000031,2023-12-04,184.05,2023-12-08,Payé,2026-02-15 18:34:32.847690
PRM_00000239,CTR_000031,2024-01-03,184.05,2024-01-08,Payé,2026-02-15 18:34:32.847713
PRM_00000240,CTR_000031,2024-02-02,184.05,2024-02-05,Payé,2026-02-15 18:34:32.847735
PRM_00000241,CTR_000031,2024-03-03,184.05,2024-03-06,Payé,2026-02-15 18:34:32.847758
PRM_00000242,CTR_000031,2024-04-02,184.05,2024-04-04,Payé,2026-02-15 18:34:32.847781
PRM_00000243,CTR_000031,2024-05-02,184.05,2024-05-04,Payé,2026-02-15 18:34:32.847803
PRM_00000244,CTR_000031,2024-06-01,184.05,2024-06-01,Payé,2026-02-15 18:34:32.847826
PRM_00000245,CTR_000031,2024-07-01,184.05,2024-07-03,Payé,2026-02-15 18:34:32.847849
PRM_00000246,CTR_000031,2024-07-31,184.05,2024-08-01,Payé,2026-02-15 18:34:32.847871
PRM_00000247,CTR_000031,2024-08-30,184.05,2024-09-03,Payé,2026-02-15 18:34:32.847894
PRM_00000248,CTR_000031,2024-09-29,184.05,2024-10-02,Payé,2026-02-15 18:34:32.847918
PRM_00000249,CTR_000031,2024-10-29,184.05,2024-11-02,Payé,2026-02-15 18:34:32.847942
PRM_00000250,CTR_000031,2024-11-28,184.05,2024-11-29,Payé,2026-02-15 18:34:32.847964
PRM_00000251,CTR_000031,2024-12-28,184.05,2024-12-30,Payé,2026-02-15 18:34:32.847987
PRM_00000252,CTR_000032,2024-07-21,51.19,2024-07-21,Payé,2026-02-15 18:34:32.848309
PRM_00000253,CTR_000032,2024-08-20,51.19,2024-08-21,Payé,2026-02-15 18:34:32.848358
PRM_00000254,CTR_000032,2024-09-19,51.19,2024-09-21,Payé,2026-02-15 18:34:32.848405
PRM_00000255,CTR_000032,2024-10-19,51.19,2024-10-24,Payé,2026-02-15 18:34:32.848449
PRM_00000256,CTR_000032,2024-11-18,51.19,2024-12-04,Retard,2026-02-15 18:34:32.848496
PRM_00000257,CTR_000032,2024-12-18,51.19,2024-12-21,Payé,2026-02-15 18:34:32.848543
PRM_00000258,CTR_000033,2024-12-19,86.11,2024-12-19,Payé,2026-02-15 18:34:32.849689
PRM_00000259,CTR_000034,2023-05-22,23.89,2023-05-23,Payé,2026-02-15 18:34:32.849981
PRM_00000260,CTR_000034,2023-06-21,23.89,2023-06-24,Payé,2026-02-15 18:34:32.850014
PRM_00000261,CTR_000034,2023-07-21,23.89,2023-07-24,Payé,2026-02-15 18:34:32.850039
PRM_00000262,CTR_000034,2023-08-20,23.89,2023-08-25,Payé,2026-02-15 18:34:32.850068
